,Postal Code,Borough,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
33,M2J,North York,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,1.0,Clothing Store,Coffee Shop,Fast Food Restaurant,Japanese Restaurant,Restaurant,Juice Bar,Shoe Store,Bank,Bakery,Women's Store
34,M3J,North York,"Northwood Park, York University",43.7679803,-79.48726190000001,1.0,Furniture / Home Store,Massage Studio,Caribbean Restaurant,Metro Station,Bar,Miscellaneous Shop,Falafel Restaurant,Coffee Shop,Doner Restaurant,Dog Run
35,M4J,East York/East Toronto,The Danforth  East,43.685347,-79.3381065,0.0,Park,Intersection,Convenience Store,Dance Studio,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Distribution Center
36,M5J,Downtown Toronto,"Harbourfront East, Union Station, Toronto Islands",43.6408157,-79.38175229999999,1.0,Coffee Shop,Aquarium,Café,Hotel,Fried Chicken Joint,Italian Restaurant,Restaurant,Sporting Goods Shop,Brewery,Scenic Lookout
37,M6J,West Toronto,"Little Portugal, Trinity",43.647926700000006,-79.4197497,1.0,Coffee Shop,Bar,Men's Store,Vietnamese Restaurant,Vegetarian / Vegan Restaurant,Restaurant,Asian Restaurant,Café,Ice Cream Shop,Cuban Restaurant
38,M1K,Scarborough,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.26202940000002,1.0,Coffee Shop,Department Store,Chinese Restaurant,Hobby Shop,Bus Station,Convenience Store,Distribution Center,Dessert Shop,Dim Sum Restaurant,Diner
39,M2K,North York,Bayview Village,43.7869473,-79.385975,1.0,Japanese Restaurant,Café,Bank,Chinese Restaurant,Dog Run,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Distribution Center
40,M3K,North York,Downsview East,43.737473200000004,-79.46476329999999,0.0,Park,Airport,Bus Stop,Electronics Store,College Rec Center,Dance Studio,Eastern European Restaurant,Dumpling Restaurant,Drugstore,Donut Shop
41,M4K,East Toronto,"The Danforth West, Riverdale",43.6795571,-79.352188,1.0,Greek Restaurant,Coffee Shop,Italian Restaurant,Ice Cream Shop,Furniture / Home Store,Grocery Store,Fruit & Vegetable Store,Pub,Pizza Place,Lounge
42,M5K,Downtown Toronto,"Toronto Dominion Centre, Design Exchange",43.6471768,-79.38157640000001,1.0,Coffee Shop,Hotel,Café,Japanese Restaurant,Seafood Restaurant,Restaurant,Italian Restaurant,Salad Place,Sushi Restaurant,Beer Bar
43,M6K,West Toronto,"Brockton, Parkdale Village, Exhibition Place",43.6368472,-79.42819140000002,1.0,Café,Breakfast Spot,Coffee Shop,Performing Arts Venue,Convenience Store,Nightclub,Italian Restaurant,Burrito Place,Intersection,Stadium
44,M1L,Scarborough,"Golden Mile, Clairlea, Oakridge",43.711111700000004,-79.2845772,1.0,Bus Line,Bakery,Park,Ice Cream Shop,Metro Station,Bus Station,Intersection,Soccer Field,Gas Station,Dance Studio
46,M3L,North York,Downsview West,43.7390146,-79.5069436,1.0,Grocery Store,Bank,Hotel,Shopping Mall,Park,Airport,Deli / Bodega,Escape Room,Electronics Store,Eastern European Restaurant
47,M4L,East Toronto,"India Bazaar, The Beaches West",43.6689985,-79.31557159999998,1.0,Park,Fast Food Restaurant,Fish & Chips Shop,Pet Store,Pub,Steakhouse,Ice Cream Shop,Restaurant,Liquor Store,Pizza Place
48,M5L,Downtown Toronto,"Commerce Court, Victoria Hotel",43.6481985,-79.37981690000001,1.0,Coffee Shop,Restaurant,Café,Hotel,Gym,Italian Restaurant,Cocktail Bar,Deli / Bodega,Seafood Restaurant,American Restaurant
49,M6L,North York,"North Park, Maple Leaf Park, Upwood Park",43.713756200000006,-79.4900738,1.0,Park,Construction & Landscaping,Bakery,Basketball Court,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Dog Run
50,M9L,North York,Humber Summit,43.7563033,-79.56596329999999,1.0,Gym,Pizza Place,Women's Store,Distribution Center,Deli / Bodega,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store
51,M1M,Scarborough,"Cliffside, Cliffcrest, Scarborough Village West",43.716316,-79.23947609999999,1.0,Motel,American Restaurant,Women's Store,Dance Studio,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Distribution Center
52,M2M,North York,"Willowdale, Newtonbrook",43.789053,-79.40849279999999,0.0,Park,Piano Bar,Discount Store,Dance Studio,Deli / Bodega,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Distribution Center
53,M3M,North York,Downsview Central,43.7284964,-79.49569740000001,1.0,Baseball Field,Food Truck,Home Service,Deli / Bodega,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Women's Store
54,M4M,East Toronto,Studio District,43.6595255,-79.340923,1.0,Coffee Shop,Brewery,Café,Bakery,Gastropub,American Restaurant,Fish Market,Bank,Bar,Stationery Store
55,M5M,North York,"Bedford Park, Lawrence Manor East",43.7332825,-79.4197497,1.0,Coffee Shop,Restaurant,Sandwich Place,Italian Restaurant,Thai Restaurant,Comfort Food Restaurant,Pharmacy,Pizza Place,Café,Butcher
56,M6M,York,"Del Ray, Mount Dennis, Keelsdale and Silverthorn",43.6911158,-79.47601329999999,1.0,Bar,Sandwich Place,Turkish Restaurant,Discount Store,Women's Store,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Distribution Center
57,M9M,North York,"Humberlea, Emery",43.7247659,-79.53224240000002,1.0,Baseball Field,Food Service,Dog Run,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Women's Store,Deli / Bodega
58,M1N,Scarborough,"Birch Cliff, Cliffside West",43.692657000000004,-79.2648481,1.0,College Stadium,Skating Rink,General Entertainment,Café,Women's Store,Distribution Center,Department Store,Dessert Shop,Dim Sum Restaurant,Diner
59,M2N,North York,Willowdale South,43.7701199,-79.40849279999999,1.0,Ramen Restaurant,Restaurant,Coffee Shop,Pizza Place,Café,Shopping Mall,Sandwich Place,Hotel,Electronics Store,Ice Cream Shop
60,M3N,North York,Downsview Northwest,43.7616313,-79.52099940000001,1.0,Grocery Store,Liquor Store,Discount Store,Athletics & Sports,Distribution Center,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Doner Restaurant
