,Borough,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
29,Manhattan,Financial District,40.70710710727048,-74.0106654452127,1,Coffee Shop,Pizza Place,American Restaurant,Italian Restaurant,Cocktail Bar,Café,Bar,Steakhouse,Monument / Landmark,Gym
30,Manhattan,Carnegie Hill,40.7826825671257,-73.95325646837112,0,Coffee Shop,Café,Wine Shop,Yoga Studio,Gym,Bar,French Restaurant,Pizza Place,Bookstore,Italian Restaurant
31,Manhattan,Noho,40.72325901885768,-73.98843368023597,0,Cocktail Bar,Italian Restaurant,French Restaurant,Pizza Place,Mexican Restaurant,Art Gallery,Grocery Store,Bookstore,Sushi Restaurant,Bakery
32,Manhattan,Civic Center,40.71522892046282,-74.00541529873355,1,Coffee Shop,Spa,Gym / Fitness Center,French Restaurant,Park,Italian Restaurant,Cocktail Bar,Hotel,Bakery,American Restaurant
33,Manhattan,Midtown South,40.7485096643122,-73.98871313285247,1,Korean Restaurant,Hotel,Japanese Restaurant,Cosmetics Shop,Dessert Shop,Ramen Restaurant,Gym / Fitness Center,Coffee Shop,Hotel Bar,American Restaurant
34,Manhattan,Sutton Place,40.76028033131374,-73.96355614094303,0,Italian Restaurant,Gym / Fitness Center,Pizza Place,Park,Coffee Shop,Furniture / Home Store,Grocery Store,Juice Bar,Burger Joint,Beer Garden
35,Manhattan,Turtle Bay,40.75204236950722,-73.96770824581834,0,Italian Restaurant,Coffee Shop,Hotel,Sushi Restaurant,Steakhouse,Park,Wine Bar,Deli / Bodega,Seafood Restaurant,Japanese Restaurant
36,Manhattan,Tudor City,40.746917410740195,-73.97121928722265,0,Park,Mexican Restaurant,Café,Sushi Restaurant,Coffee Shop,Pizza Place,Greek Restaurant,Diner,Garden,Thai Restaurant
37,Manhattan,Stuyvesant Town,40.73099955477061,-73.97405170469203,2,Park,Bar,Coffee Shop,Cocktail Bar,Basketball Court,Boat or Ferry,Farmers Market,Gym / Fitness Center,Baseball Field,Fountain
38,Manhattan,Flatiron,40.739673047638426,-73.9909471052826,0,Italian Restaurant,New American Restaurant,American Restaurant,Japanese Restaurant,Coffee Shop,Mediterranean Restaurant,Mexican Restaurant,Furniture / Home Store,Sporting Goods Shop,Wine Shop
39,Manhattan,Hudson Yards,40.75665808227519,-74.00011136202637,1,American Restaurant,Gym / Fitness Center,Hotel,Café,Italian Restaurant,Coffee Shop,Bar,Nightclub,Restaurant,Gym
